City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
354,Haines Junction,CA,60.75,-137.51,25.88,82,100,3.04,overcast clouds
355,Mackenzie,CA,55.3,-123.17,12.2,92,1,2.24,clear sky
356,Rabo De Peixe,PT,37.8,-25.58,62.6,77,40,5.82,scattered clouds
357,Margate,GB,51.38,1.39,51.01,86,22,1.99,few clouds
358,Okakarara,NA,-20.58,17.43,83.59,17,100,7.7,overcast clouds
359,Nekhayevskiy,RU,50.41,41.76,55.99,83,2,8.99,clear sky
360,Rome,US,34.26,-85.16,66.2,100,90,3.11,mist
361,Qaqortoq,GL,60.72,-46.03,28.4,68,100,4.7,overcast clouds
362,North Bend,US,43.41,-124.22,46.4,93,1,6.78,clear sky
363,Flin Flon,CA,54.77,-101.86,20.14,91,92,6.91,overcast clouds
364,Bridgetown,BB,13.1,-59.62,82.4,74,20,19.46,few clouds
365,Stokmarknes,NO,68.56,14.91,37.99,75,55,13,broken clouds
366,Vanimo,PG,-2.67,141.3,84.24,67,99,5.03,light rain
